"method","loc","cyclo","calls","nbd","param"
"org.jkiss.dbeaver.ui.data.registry.ValueManagerDescriptor.supportsType(@Nullable DBPDataSource dataSource, DBSTypedObject typedObject, Class<?> valueType, boolean checkDataSource, boolean checkType)",38,23,9,4,5
"org.jkiss.dbeaver.model.impl.jdbc.JDBCSQLDialect.initDriverSettings(JDBCSession session, JDBCDataSource dataSource, JDBCDatabaseMetaData metaData)",138,23,56,3,3
"org.jkiss.dbeaver.ext.postgresql.model.data.PostgreValueHandlerProvider.getValueHandler(DBPDataSource dataSource, DBDFormatSettings preferences, DBSTypedObject typedObject)",56,23,9,1,3
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetReferenceMenu.fillRefTablesActions(@Nullable DBRProgressMonitor extMonitor, ResultSetViewer viewer, List<ResultSetRow> rows, DBSEntity singleSource, IMenuManager manager, boolean openInNewWindow)",155,22,68,8,6
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetPersister$DataUpdaterJob.executeStatements(DBCSession session)",130,22,63,8,1
"org.jkiss.dbeaver.model.virtual.DBVModelSerializerModern.serializeEntity(DBRProgressMonitor monitor, JsonWriter json, DBVEntity entity)",120,22,118,6,3
"org.jkiss.dbeaver.ui.dashboard.histogram.DashboardRendererTimeseries.updateDashboardData(DashboardContainer container, Date lastUpdateTime, DashboardDataset dataset)",91,22,45,6,3
"org.jkiss.dbeaver.model.DBUtils.makeStatement(@NotNull DBCExecutionSource executionSource, @NotNull DBCSession session, @NotNull DBCStatementType statementType, @NotNull SQLQuery sqlQuery, long offset, long maxRows)",76,22,30,6,6
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerExtensionBase.getTableModifiers(DBRProgressMonitor monitor, PostgreTableBase tableBase, boolean alter)",74,22,42,5,3
"org.jkiss.dbeaver.ui.actions.datasource.SelectActiveSchemaHandler.updateElement(UIElement element, Map parameters)",72,22,31,5,2
